"YEAR","race_label","count","percentage"
2022,"Asian only",917945.26,23.3406841548246
2022,"Black",266930.21,6.78726062923514
2022,"Other",64161.95,1.63145219542574
2022,"White",2644293.54,67.2367111844808
2022,"White-Asian",39481.18,1.00389183603364
2023,"Asian only",969158.290000001,22.9455279955693
2023,"Black",315207.81,7.46277435110943
2023,"Other",85601.84,2.02668587418495
2023,"White",2795258.62,66.1797825823338
2023,"White-Asian",58508.41,1.38522919680256
2024,"Asian only",914300.91,22.7794835424088
2024,"Black",369381.09,9.20299910948577
2024,"Other",85247.45,2.12391004216251
2024,"White",2644773.97,65.8936073059429
